pink-red,pink-orange,pink-yellow,pink-green,pink-blue,pink-purple,red-orange,red-yellow,red-green,red-blue,red-purple,orange-yellow,orange-green,orange-blue,orange-purple,yellow-green,yellow-blue,yellow-purple,green-blue,green-purple,blue-purple,average,var,std
1.03,0.42,0.73,0.81,0.43,1.45,0.38,1.06,1.28,0.6,2.74,1.04,0.94,0.78,1.78,0.47,0.31,2.03,0.8,2.02,1.77,1.09,0.41,0.64
0.18,0.0,0.32,0.59,2.63,2.24,0.17,0.1,0.65,2.53,2.29,0.32,0.94,1.85,2.03,1.51,2.13,2.23,0.47,1.91,1.75,1.28,0.83,0.91
1.06,1.78,1.92,0.93,1.77,1.68,0.17,1.28,0.64,1.06,1.31,0.6,0.84,0.34,0.17,1.21,0.19,0.83,0.98,0.79,0.4,0.95,0.28,0.53
1.57,0.19,1.84,1.09,0.68,1.35,1.38,0.28,0.76,0.55,1.03,1.78,0.81,1.16,0.78,0.79,1.39,0.82,0.1,0.24,1.52,0.96,0.26,0.51
1.82,2.39,1.02,1.04,0.69,1.41,2.43,0.62,2.86,1.12,0.77,1.67,2.96,2.54,1.46,1.93,0.87,0.38,1.7,2.43,0.91,1.57,0.59,0.77
0.79,0.74,1.14,0.23,0.27,1.18,1.35,0.42,1.11,0.41,0.15,1.67,0.26,0.29,0.98,0.4,1.61,1.19,0.65,0.2,1.1,0.77,0.23,0.48
0.31,1.5,0.93,0.27,0.13,0.39,2.05,0.6,0.24,0.9,0.17,1.54,2.09,1.39,1.26,0.27,0.38,0.13,0.56,0.22,0.41,0.75,0.39,0.62
1.22,0.77,1.64,0.08,0.64,0.13,0.42,0.63,0.96,1.52,1.85,0.69,0.3,0.83,1.35,0.68,2.17,1.99,0.69,0.81,0.1,0.93,0.37,0.61
1.34,0.27,1.46,1.32,1.23,1.16,0.83,0.05,1.34,1.35,1.36,0.73,0.25,1.13,0.91,2.02,1.51,1.95,0.3,0.19,0.15,0.99,0.34,0.58
4.46,2.62,3.31,2.49,1.51,1.34,0.49,2.66,1.73,3.3,4.77,1.74,0.02,1.78,3.11,1.6,3.23,4.32,1.78,3.1,1.38,2.42,1.5,1.23
2.46,0.09,0.04,2.04,1.03,0.89,2.63,1.9,0.95,1.5,1.12,0.37,1.93,1.21,0.8,1.57,0.59,0.02,3.06,1.09,1.66,1.28,0.69,0.83
0.89,0.12,2.2,2.63,4.04,0.95,1.26,2.73,2.3,4.3,0.44,2.11,1.18,3.92,1.1,0.74,0.89,2.93,0.7,2.19,4.6,2.01,1.75,1.32
0.37,1.18,3.13,4.57,4.62,2.81,0.61,2.62,4.36,4.18,2.63,1.55,2.5,3.15,0.38,0.81,1.66,0.02,0.43,1.78,1.47,2.13,2.1,1.45
2.6,0.96,0.49,0.56,2.1,1.47,1.16,1.44,0.67,0.85,1.18,0.98,0.22,1.53,0.41,0.83,2.2,0.42,1.78,0.46,0.89,1.1,0.41,0.64
2.69,1.36,1.0,2.15,3.37,2.15,1.63,1.54,3.58,1.07,0.13,0.37,2.91,0.56,0.64,2.83,2.06,1.03,4.62,3.53,0.17,1.88,1.54,1.24
2.73,1.12,0.01,2.86,0.51,1.86,4.38,1.03,1.65,2.3,1.19,0.42,3.62,1.76,3.99,1.62,0.92,1.12,1.91,2.74,1.72,1.88,1.3,1.14
2.46,0.56,0.15,1.5,1.04,2.4,2.86,2.02,0.65,3.23,0.68,0.68,1.85,1.2,2.68,1.34,1.21,2.0,2.5,0.05,3.35,1.64,0.95,0.97
4.18,2.35,3.79,2.21,1.3,2.5,2.5,0.37,0.79,4.74,0.99,1.81,1.3,2.08,0.97,0.53,4.11,0.7,2.86,1.75,2.98,2.13,1.57,1.25
